Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
J06-10011-1 (J06P01),ALISO VIEJO,64191.82316073409,NA,2885267.3854883257
J06-10011-1 (J06P01),LAGUNA HILLS,90036.09893448578,NA,162613.19584202167
J06-10011-1 (J06P01),LAGUNA WOODS,164795.93644752,NA,1554221.857610405
J06-10011-1 (J06P01),LAKE FOREST,99155.5652674541,NA,1590585.7791605897
J06-9079-1 (J06P03),ALISO VIEJO,434948.7669667898,NA,2885267.3854883257
K01-12126-1 (K01S01),DANA POINT,1649043.5017217847,NA,5056146.576943786
K01-12126-1 (K01S01),LAGUNA NIGUEL,4419767.737990215,NA,16689765.127180735
K01-12159-2,DANA POINT,2048284.7999999998,NA,5056146.576943786
K01-12159-3,DANA POINT,848016.0000000001,NA,5056146.576943786
K01-12177-1 (K01P07),LAGUNA NIGUEL,8028342.428597124,NA,16689765.127180735
L01-340-1,ORANGE CO,222865.79187889196,NA,29278455.81804872
L01-340-1,RANCHO SANTA MARGARITA,2737.9326098279057,NA,6623621.46860727
L01-404-1,ORANGE CO,467803.0665000001,NA,29278455.81804872
L01-724-1 (L01S01),DANA POINT,192853.50008793545,NA,5056146.576943786
L01-724-1 (L01S01),LAGUNA NIGUEL,136958.12364967624,NA,16689765.127180735
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,201463.8382383276,NA,5857766.027041091
L01-724-4 (L01P03),LAGUNA NIGUEL,477727.5219414121,NA,16689765.127180735
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1169099.6795407326,NA,5857766.027041091
L01-726-5,DANA POINT,317948.7751340659,NA,5056146.576943786
L01-726-5,SAN JUAN CAPISTRANO,21257.621507790718,NA,5857766.027041091
L01-728-5 (L01-DP),DANA POINT,0,NA,5056146.576943786
L01-731-1 (L08TBN2),ORANGE CO,7622.221903016212,NA,29278455.81804872
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,122306.9619995369,NA,6623621.46860727
L01-766-9,SAN JUAN CAPISTRANO,1915751.2557542396,NA,5857766.027041091
L02-166-3 (L02P26),ORANGE CO,4309.640532079483,NA,29278455.81804872
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,763149.052350498,NA,6623621.46860727
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,650851.2,NA,6623621.46860727
L02-374-1 (L02P50),ORANGE CO,6629839.826400001,NA,29278455.81804872
L02-641-1,ORANGE CO,1771.4250436392,NA,29278455.81804872
L02-641-1,RANCHO SANTA MARGARITA,299548.574853912,NA,6623621.46860727
L02-641-2,ORANGE CO,25459.629297200037,NA,29278455.81804872
L02-641-2,RANCHO SANTA MARGARITA,4305231.937230365,NA,6623621.46860727
L03-214-2 (L03P18),MISSION VIEJO,10072589.117267119,NA,29902678.15830028
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,479795.8095631303,NA,6623621.46860727
L03-316-3 (L03P12),MISSION VIEJO,8376960.281847767,NA,29902678.15830028
L03-418-8,LAGUNA NIGUEL,109876.87025110077,NA,16689765.127180735
L03-418-8,MISSION VIEJO,1002625.2111076597,NA,29902678.15830028
L03-662-3 (L03P16),MISSION VIEJO,791458.29,NA,29902678.15830028
L04-266-5,MISSION VIEJO,7837275.600000001,NA,29902678.15830028
L04-672-1,MISSION VIEJO,1820913.696,NA,29902678.15830028
L05-049-1,ORANGE CO,6459566.4,NA,29278455.81804872
L05-489-3,ORANGE CO,15273413.564915098,NA,29278455.81804872
L05-503-1,SAN JUAN CAPISTRANO,2550193.6319999998,NA,5857766.027041091
M01-042-1 (M01S01),SAN CLEMENTE,2296412.823,NA,27991586.96287821
M01-047-1,SAN CLEMENTE,17133085.580831997,NA,27991586.96287821
M02-032-1,SAN CLEMENTE,2370822.470496,NA,27991586.96287821
M02-085-1 (M02P06),ORANGE CO,924.9483429929159,NA,29278455.81804872
M02-085-1 (M02P06),SAN CLEMENTE,1334007.5785502123,NA,27991586.96287821
M02-085-2,SAN CLEMENTE,4857258.51,NA,27991586.96287821
I01-11343-1,LAGUNA WOODS,0,NA,1554221.857610405
DP04-12015-1,LAGUNA BEACH,0,1899568.6488852124,NA
DP04-12015-1,LAGUNA NIGUEL,0,99629956.0207097,NA
DP04-12015-1,ORANGE CO,0,55316727.45998856,NA
DP06-12106-1,DANA POINT,409760.3227132801,4041123.28077577,NA
I00-11453-1,LAGUNA BEACH,91657.33936128,1899568.6488852124,NA
I00-11518-1,LAGUNA BEACH,0,1899568.6488852124,NA
I00-11518-1,ORANGE CO,0,55316727.45998856,NA
I00-11518-2,LAGUNA BEACH,40071.474031888465,1899568.6488852124,NA
I00-11518-2,ORANGE CO,1135.1051676994682,55316727.45998856,NA
I01-11023-2,LAGUNA BEACH,111.601152,1899568.6488852124,NA
I01-11059-1,LAGUNA BEACH,128770.55969095061,1899568.6488852124,NA
I01-11195-2,ALISO VIEJO,2906292.232063323,7421844.377621106,NA
I01-11195-2,LAGUNA BEACH,388119.1448570664,1899568.6488852124,NA
I01-11195-2,LAGUNA WOODS,1007891.3253952062,2554759.0466204807,NA
I01-11216-1 (I02P13),ALISO VIEJO,219404.2339564607,7421844.377621106,NA
I01-11216-1 (I02P13),LAGUNA WOODS,492962.8420425062,2554759.0466204807,NA
I01-11216-2 (I02P12),ALISO VIEJO,123957.19432568402,7421844.377621106,NA
I01-11216-2 (I02P12),LAGUNA WOODS,278510.0802500035,2554759.0466204807,NA
I01-11216-3,ALISO VIEJO,190894.0792615534,7421844.377621106,NA
I01-11216-3,LAGUNA WOODS,428905.5235850054,2554759.0466204807,NA
