StationCode,Jurisdiction,VolumeDischargeCFS,HandMeterDischarge,AVGvDISCHARGE,AVGfmDISCHARGE,Qcalcs
L03-316-3 (L03P12),MISSION VIEJO,0.026,NA,0.07016666666666667,NA,0.07016666666666667
L03-316-3 (L03P12),MISSION VIEJO,0.07,NA,0.07016666666666667,NA,0.07016666666666667
L03-316-3 (L03P12),MISSION VIEJO,0.088,NA,0.07016666666666667,NA,0.07016666666666667
L03-316-3 (L03P12),MISSION VIEJO,0.068,NA,0.07016666666666667,NA,0.07016666666666667
L03-316-3 (L03P12),MISSION VIEJO,0.098,NA,0.07016666666666667,NA,0.07016666666666667
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,0.001,NA,0.0015,NA,0.0015
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,NA,NA,0.0015,NA,0.0015
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,0.002,NA,0.0015,NA,0.0015
LC04-11199-1,NA,0.021,NA,0.021,NA,0.021
L01-303-4,ORANGE CO,0.001,NA,0.00975,NA,0.00975
L01-303-4,ORANGE CO,0.019,NA,0.00975,NA,0.00975
L01-303-4,ORANGE CO,0.019,NA,0.00975,NA,0.00975
L01-303-4,ORANGE CO,0,NA,0.00975,NA,0.00975
J01-9131-1 (J01P28),ALISO VIEJO,0.011,NA,0.016555555555555556,NA,0.016555555555555556
J01-9131-1 (J01P28),ALISO VIEJO,0.03,NA,0.016555555555555556,NA,0.016555555555555556
J01-9131-1 (J01P28),ALISO VIEJO,0.008,NA,0.016555555555555556,NA,0.016555555555555556
